id,counts
11691,1234
11206,1054
11212,1002
10304,930
10456,917
11236,888
11201,856
10459,774
10302,758
10303,757
10029,741
11419,739
11420,734
11203,634
11226,604
10452,593
11207,579
11221,561
10301,522
11432,522
11224,512
10035,510
10451,488
11417,480
10310,476
11216,469
11217,462
11208,453
10009,415
11429,408
10455,405
11416,399
10002,387
11218,380
10306,377
10468,369
11213,367
11413,363
11375,360
11434,354
11385,333
10027,332
11354,318
10467,311
11219,311
11205,308
11421,303
11210,302
11414,302
10031,301
10454,298
11211,288
11355,283
11435,274
11418,268
11231,267
11233,267
11225,265
10457,264
11367,260
11214,256
10036,254
11692,251
10037,250
11374,249
11422,243
11365,241
10458,240
11204,240
10003,238
11101,238
11220,235
10314,232
11411,230
10305,221
11238,220
11223,210
10026,206
10032,205
10473,205
10474,203
11237,200
11412,198
10025,197
11102,196
11103,196
10463,190
11377,187
10033,185
11428,181
10001,178
10472,176
11106,176
11234,174
10453,170
11368,170
10312,169
10308,167
10039,164
11230,163
10034,161
10023,159
10128,159
10466,159
10017,157
10461,155
10469,154
10462,153
11433,152
10024,147
11366,147
10012,144
11427,137
10309,133
10030,132
10040,130
11229,130
10022,124
11105,123
11364,121
10460,118
11373,116
10170,115
11358,114
10011,111
11361,109
11235,106
11423,103
11372,98
11215,95
11356,93
11232,92
11378,87
10016,84
10475,84
10019,83
10013,81
10028,80
10465,76
10038,75
11222,74
11209,72
10018,68
11228,65
10014,61
11379,61
11436,60
11362,58
10010,56
11357,52
10021,51
11426,50
10065,47
10075,46
10307,45
11694,44
11369,43
11693,37
11415,34
11370,30
11104,29
10470,28
11004,22
11360,22
10471,20
11001,20
11363,18
10007,17
10119,10
11451,8
10006,6
11430,6
10044,5
11096,5
10282,4
11040,4
10311,3
10110,2
11580,2
10005,1
10115,1
10168,1
10173,1
10174,1
10704,1
11003,1
11559,1
11697,1
